REGIONAL;LOCALIDADE
PATOS DE MINAS;ABAETE DOS MENDES
PATOS DE MINAS;ALAGOAS
UBERABA;ALEXANDRITA
UBERABA;ALMEIDA CAMPOS
ITUMBIARA;ALMERINDONOPOLIS
FRANCA;ALTINOPOLIS
FRANCA;ALTINOPOLIS
PARA DE MINAS;ANTUNES
CTBC AUTORIZATARIA;APARECIDA DE GOIANIA
UBERABA;APARECIDA DE MINAS
FRANCA;APARECIDA DO SALTO
DIVINOPOLIS;ARAGUARI
DIVINOPOLIS;ARAGUARI
DIVINOPOLIS;ARAGUARI
DIVINOPOLIS;ARAGUARI
DIVINOPOLIS;ARAGUARI
DIVINOPOLIS;ARAGUARI
DIVINOPOLIS;ARAGUARI
FRANCA;ARAMINA
ITUMBIARA;ARAPORA
PARA DE MINAS;ARAUJOS
DIVINOPOLIS;ARAXA
DIVINOPOLIS;ARAXA
DIVINOPOLIS;ARAXA
PATOS DE MINAS;AREADO
PARA DE MINAS;ASCENCAO
UBERABA;BAIXA
UBERLANDIA;BALSAMO
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
FRANCA;BATATAIS
UBERABA;BOA ESPERANCA
PARA DE MINAS;BOA VISTA DE MINAS
PARA DE MINAS;BOM JESUS DO PARA
PATOS DE MINAS;BOM SUCESSO DE PATOS
CTBC AUTORIZATARIA;BRASILIA
FRANCA;BREJAO
PATOS DE MINAS;BREJO BONITO
FRANCA;BRODOWSKI
FRANCA;BRODOWSKI
PARA DE MINAS;BRUMADO
ITUMBIARA;BURITI ALEGRE
FRANCA;BURITIZAL
ITUMBIARA;CACHOEIRA DOURADA
ITUIUTABA;CACHOEIRA DOURADA-MG
FRANCA;CAJURU
FRANCA;CAJURU
FRANCA;CAJURU
FRANCA;CAJURU
FRANCA;CAJURU
FRANCA;CAJURU
FRANCA;CAJURU
UBERABA;CAMPINA VERDE
UBERABA;CAMPINA VERDE
CTBC AUTORIZATARIA;CAMPINAS
CTBC AUTORIZATARIA;CAMPINAS
CTBC AUTORIZATARIA;CAMPINAS
UBERABA;CAMPO FLORIDO
PARA DE MINAS;CAMPOS ALTOS
ITUMBIARA;CANAPOLIS
PARA DE MINAS;CAPAO
FRANCA;CAPELINHA
UBERABA;CAPELINHA DO BARREIRO
ITUIUTABA;CAPINOPOLIS
FRANCA;CAPIVARI DA MATA
PARA DE MINAS;CAPIVARI ELEUTERIO
PARA DE MINAS;CARIOCA
PATOS DE MINAS;CARMO DO PARANAIBA
UBERABA;CARNEIRINHO
FRANCA;CASSIA DOS COQUEIROS
ITUMBIARA;CENTRALINA
PARA DE MINAS;CHAPADA
PATOS DE MINAS;CHAVES
ITUIUTABA;CHAVESLANDIA
PATOS DE MINAS;CLARO DE MINAS
UBERABA;COLOMBIA
UBERABA;COMENDADOR GOMES
UBERABA;CONCEICAO DAS ALAGOAS
UBERABA;CONCEICAO DAS ALAGOAS
PATOS DE MINAS;CORREGO DANTA
PATOS DE MINAS;CRUZEIRO DA FORTALEZA
PATOS DE MINAS;CRUZEIRO DA PRATA
UBERLANDIA;CRUZEIRO DOS PEIXOTOS
PARA DE MINAS;CUNHAS
UBERABA;DELTA
DIVINOPOLIS;DIVINOPOLIS
DIVINOPOLIS;DIVINOPOLIS
DIVINOPOLIS;DIVINOPOLIS
DIVINOPOLIS;DIVINOPOLIS
PARA DE MINAS;ENGENHO
PARA DE MINAS;ESTEIOS
UBERABA;ESTRELA DA BARRA
UBERABA;FATIMA DO PONTAL
ITUIUTABA;FLOR DE MINAS
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
FRANCA;FRANCA
UBERABA;FRUTAL
UBERABA;FRUTAL
UBERABA;FRUTAL
UBERABA;FRUTAL
UBERABA;FRUTAL
UBERABA;FRUTAL
UBERABA;FRUTAL
UBERABA;FRUTAL
PATOS DE MINAS;GALENA
PARA DE MINAS;GAMAS
UBERLANDIA;GARCIAS
UBERABA;GARIMPO BANDEIRA
CTBC AUTORIZATARIA;GOIANIA
CTBC AUTORIZATARIA;GOIANIA
FRANCA;GUAIRA
FRANCA;GUAIRA
FRANCA;GUAIRA
FRANCA;GUAIRA
FRANCA;GUAIRA
FRANCA;GUAIRA
FRANCA;GUAIRA
FRANCA;GUAIRA
FRANCA;GUAIRA
FRANCA;GUAIRA
FRANCA;GUARA
ITUIUTABA;GURINHATA
UBERABA;HONOROPOLIS
FRANCA;IBIRACI
PARA DE MINAS;IGARATINGA
PARA DE MINAS;IGUATAMA
ITUMBIARA;INACIOLANDIA
UBERLANDIA;INDIANOPOLIS
UBERLANDIA;INDIANOPOLIS
ITUIUTABA;IPIACU
FRANCA;IPUA
ITUIUTABA;ITAGUACU
UBERABA;ITAPAGIPE
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUIUTABA;ITUIUTABA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
ITUMBIARA;ITUMBIARA
UBERABA;ITURAMA
UBERABA;ITURAMA
UBERABA;ITURAMA
UBERABA;ITURAMA
UBERABA;ITURAMA
UBERABA;ITURAMA
UBERABA;ITURAMA
UBERABA;ITURAMA
UBERABA;ITURAMA
UBERABA;ITURAMA
FRANCA;ITUVERAVA
FRANCA;ITUVERAVA
